id,name,birth_year,death_year,id,name,birth_year,death_year
fk__p_53214,Severin,1000,1000,person__24851,Severin,1000,1000
fk__p_53183,"Lagerlöf, Selma",1858,1940,person__8422,"Lagerlöf, Selma",1858,1940
fk__p_53180,"Sello, Erich",1852,1912,person__24822,"Sello, Erich",1852,1912
fk__p_53162,"Segantini, Giovanni",1858,1899,person__9845,"Segantini, Giovanni",1858,1899
fk__p_53147,"Sebestyén, Károly",1872,1945,person__24740,"Sebestyén, Károly",1872,1945
fk__p_53140,"Scribe, Eugène",1791,1861,person__12756,"Scribe, Eugène",1791,1861
fk__p_53123,"Schwind, Moritz von",1804,1871,person__9814,"Schwind, Moritz von",1804,1871
fk__p_53114,"Schweninger, Ernst",1850,1924,person__3835,"Schweninger, Ernst",1850,1924
fk__p_39021,"Uij, Béla von",1873,1942,person__26280,"Uij, Béla von",1873,1942
fk__p_53051,"Schrottenbach, Heinrich",1848,1937,person__29050,"Schrottenbach, Heinrich",1848,1937
fk__p_53041,"Schreiner, Jakob",1854,1942,person__12714,"Schreiner, Jakob",1854,1942
fk__p_53008,Schön,1000,1000,person__24680,Schön,1000,1000
fk__p_52981,"Schneider-Duncker, Paul",1878,1956,person__46044,"Schneider-Duncker, Paul",1878,1956
fk__p_52979,Schneider,1000,1000,person__24385,Schneider,1000,1000
fk__p_39014,"Haas, Béla",1847,1909,person__17670,"Haas, Béla",1847,1909
fk__p_52962,Schmidt,1000,1000,person__24301,Schmidt,1000,1000
fk__p_52948,"Schmedes, Erik",1868,1931,person__4812,"Schmedes, Erik",1868,1931
fk__p_52926,"Schleich, Carl Ludwig",1859,1922,person__9696,"Schleich, Carl Ludwig",1859,1922
fk__p_52915,"Schindler, Emil Jakob",1842,1892,person__12661,"Schindler, Emil Jakob",1842,1892
fk__p_39011,"Balázs, Béla",1884,1949,person__6097,"Balázs, Béla",1884,1949
fk__p_52882,"Scherl, August",1849,1921,person__3765,"Scherl, August",1849,1921
fk__p_52880,"Scherer, Wilhelm",1841,1886,person__9680,"Scherer, Wilhelm",1841,1886
fk__p_39009,"Beckmann, Friedrich",1803,1866,person__6192,"Beckmann, Friedrich",1803,1866
fk__p_52848,"Schauta, Friedrich",1849,1919,person__12637,"Schauta, Friedrich",1849,1919
fk__p_52833,"Schapire, Anna",1877,1911,person__9669,"Schapire, Anna",1877,1911
fk__p_52830,"Schallud, Franz",1861,1933,person__24049,"Schallud, Franz",1861,1933
fk__p_52829,"Asch, Schalom",1880,1957,person__13522,"Asch, Schalom",1880,1957
fk__p_52790,"Sauer, Oskar",1856,1918,person__2193,"Sauer, Oskar",1856,1918
fk__p_52783,"Guitry, Sacha",1885,1957,person__17536,"Guitry, Sacha",1885,1957
fk__p_52775,"Sardou, Victorien",1831,1908,person__12624,"Sardou, Victorien",1831,1908
fk__p_52772,"Sarasate, Pablo de",1844,1908,person__9647,"Sarasate, Pablo de",1844,1908
fk__p_52766,Sappho,1000,1000,person__65119,Sappho,1000,1000
fk__p_52765,"Santos-Dumont, Alberto",1873,1932,person__23969,"Santos-Dumont, Alberto",1873,1932
fk__p_52744,"Lublinski, Samuel",1868,1910,person__8725,"Lublinski, Samuel",1868,1910
fk__p_52723,"Saltenburg, Heinz",1882,1948,person__23921,"Saltenburg, Heinz",1882,1948
fk__p_52720,"Stricker, Salomon",1834,1898,person__10106,"Stricker, Salomon",1834,1898
fk__p_52719,"Reinach, Salomon",1858,1932,person__23199,"Reinach, Salomon",1858,1932
