Cluster ID,id,name,birth_year,death_year
543,fk__p_37857,"Lieblein, Adrienne, geb. Wilde",1889,1983
544,fk__p_37858,Advocat,1000,1000
545,fk__p_37859,Advokat,1000,1000
9,fk__p_37860,"Aehrenthal-Lexa, Aloys Graf",1854,1912
546,fk__p_37862,Aengstlicher Actionär der Escomptegesellschaft,1000,1000
547,fk__p_37865,Aesop,620,564
548,fk__p_37867,Agassi,1000,1000
549,fk__p_37869,"Nilsson, Agda",1881,1959
550,fk__p_37870,"Agel, Wilhelm",1889,1000
551,fk__p_37871,Agilulf,1000,616
552,fk__p_37873,"Bricht-Pyllemann, Agnes",1870,1950
553,fk__p_37874,"Hruza, Agnes",1879,1899
554,fk__p_37875,"Sorma, Agnes",1865,1927
555,fk__p_37876,"Straub, Agnes",1890,1941
556,fk__p_37877,"Ahlers, Johannes",1901,1000
557,fk__p_37878,"Ahlwardt, Hermann",1846,1914
558,fk__p_37879,Ahmed Tewfik Pascha,1845,1936
559,fk__p_37881,Ahwelah,1000,1000
560,fk__p_37882,"Aicher, Rudolf",1890,1000
561,fk__p_37884,"Aimée, d. i. Tronchon, Aimée",1852,1887
562,fk__p_37885,Aischines,1000,1000
563,fk__p_37886,Aischylos,1000,1000
564,fk__p_37887,"Ackerl, Wilhelm",1846,1926
565,fk__p_37888,"Ackermann, Friedrich",1876,1949
566,fk__p_37889,Akiba ben Joseph,1000,1000
567,fk__p_37890,"Schreiber, Akiba",1884,1000
568,fk__p_37891,"Akizuki, Satsuo",1858,1945
569,fk__p_37893,Akulina,1000,1000
570,fk__p_37896,"Pataky, Aladár",1872,1952
571,fk__p_37897,Alarich ,1000,410
572,fk__p_37899,"Álvarez de Toledo, Fernando, Herzog von Alba",1507,1582
573,fk__p_37900,Alban,1000,1000
574,fk__p_37901,"Berg, Alban",1885,1935
575,fk__p_37903,"Albert, Eduard",1841,1900
576,fk__p_37906,"Bloch, Albert",1882,1961
577,fk__p_37907,"Danffy, Albert",1000,1000
578,fk__p_37909,"Ehrenstein, Albert",1886,1950
579,fk__p_37910,"Ehrhard, Albert",1862,1940
580,fk__p_37911,"Einstein, Albert",1879,1955
10,fk__p_37913,"Rothschild, Albert Salomon Freiherr von",1844,1911
581,fk__p_37914,"Geßmann, Albert",1852,1920
582,fk__p_37915,"Gottlieb, Albert",1845,1904
583,fk__p_37916,"Greiner, Albert",1857,1943
584,fk__p_37917,"Gütersloh, Albert Paris",1887,1973
585,fk__p_37919,"Heine, Albert",1867,1949
586,fk__p_37920,"Hoerrmann, Albert",1899,1980
587,fk__p_37923,"J., Albert",1000,1000
588,fk__p_37924,"Gutmann, Albert Ignaz",1851,1915
589,fk__p_37925,"Weltner, Adalbert Joseph Anton",1855,1914
590,fk__p_37927,"Langen, Albert",1869,1909
591,fk__p_37929,"Lortzing, Gustav Albert",1801,1851
592,fk__p_37930,"Millaud, Albert",1836,1892
593,fk__p_37931,"Moll, Albert",1862,1939
594,fk__p_37933,"Pichart, Albert",1891,1000
595,fk__p_37934,"Radtke, Albert",1000,1000
596,fk__p_37935,"Roderich, Albert",1846,1938
597,fk__p_37938,"Schmeichler, Albert",1854,1934
598,fk__p_37940,"Soergel, Wilhelm Albert",1880,1958
599,fk__p_37941,"Träger, Albert",1830,1912
600,fk__p_37943,"Weidner, Albert",1871,1946
601,fk__p_37944,"Weisgerber, Albert",1878,1915
602,fk__p_37945,"Ziethen, Albert ",1000,1901
603,fk__p_37946,"Puttkamer, Alberta von, geb. Weise",1849,1923
604,fk__p_37948,"K., Albertine",1000,1000
605,fk__p_37949,"Pedretto, Alberto",1000,1000
606,fk__p_37951,"Kumar, Albin",1862,1945
607,fk__p_37952,"Swoboda, Albin",1836,1901
608,fk__p_37953,"N., Albine",1890,1000
609,fk__p_37954,"Albing, Ansgar",1868,1924
610,fk__p_37955,"Albori, Eugen Freiherr von",1838,1915
611,fk__p_37958,"Albrecht-Várkony, Emil von",1000,1000
612,fk__p_37959,Alcibiades,1000,404
613,fk__p_37960,Evans,1000,1000
614,fk__p_37964,Alexander,1000,1000
615,fk__p_37965,"Albert, Alexander",1847,1000
616,fk__p_37966,"Bergen, Alexander",1812,1863
617,fk__p_37968,"Bisson, Alexander",1848,1912
618,fk__p_37971,"Duschnitz, Alexander",1866,1942
619,fk__p_37972,"Ecklebe, Alexander",1904,1983
620,fk__p_37973,"Elek, Alexander",1000,1000
621,fk__p_37974,"Engel, Alexander",1868,1940
622,fk__p_37976,"Fraenkel, Alexander",1857,1941
623,fk__p_37977,"Bernus, Alexander Freiherr von",1880,1965
624,fk__p_37978,"Girardi, Alexander",1850,1918
625,fk__p_37979,"Grünfeld, Alexander",1878,1928
626,fk__p_37980,Alexander I.,1777,1825
627,fk__p_37981,Alexander III.,1845,1894
628,fk__p_37983,"König, Alexander",1849,1905
629,fk__p_37984,"Korda, Alexander",1893,1956
630,fk__p_37985,"Krieger, Alexander",1000,1000
631,fk__p_37986,"Landesberg, Alexander",1846,1916
632,fk__p_37989,"Lippmann, Alexander",1832,1899
633,fk__p_37991,"Márai, Sándor",1900,1989
12,fk__p_37992,"Lernet-Holenia, Alexander Maria ",1897,1976
13,fk__p_37993,"Pallavicini, Alexander Oswald Markgraf von",1853,1933
634,fk__p_37995,"Mérey-Kapos-Mére, Alexander von",1834,1927
635,fk__p_37999,"Ohm-Januschowsky, Ritter von Wishegrad, Alexander ",1855,1917
636,fk__p_38000,"R., Alexander",1000,1000
637,fk__p_38001,"Rechnitz, Alexander Salomon Robert",1846,1926
638,fk__p_38004,"Rottmann, Alexander",1869,1916
639,fk__p_38005,"Runge, Alexander",1899,1945
640,fk__p_38006,"Scharf, Alexander",1834,1904
641,fk__p_38008,"Schell-Bauschlott, Alexander Freiherr von",1857,1906
642,fk__p_38010,"Schwarzer, Alexander",1910,1927
643,fk__p_38012,"Solomonica, Alexander",1889,1942
16,fk__p_38013,"Strakosch, Alexander",1840,1909
644,fk__p_38014,"Szabados, Alexander (Sándor)",1874,1940
17,fk__p_38015,"Tairoff, Alexander J.",1885,1950
645,fk__p_38017,"Weilen, Alexander von",1863,1918
646,fk__p_38018,"Weigl, Alexander",1000,1000
647,fk__p_38019,"Weiner, Alexander",1876,1956
648,fk__p_38020,"Weisz, Alexander",1884,1000
649,fk__p_38022,"Feodorowa, Alexandra",1884,1972
650,fk__p_38024,"Schönerer, Alexandrine von",1850,1919
651,fk__p_38026,"Posse, Alexis",1898,1938
652,fk__p_38027,Alpha,1000,1000
